RBP,Cell_line,eCLIP_exp,Control_exp,Experiment Fastq Files,Experiment Bam Files,Peak Files,Reproducible Peak Files,Input ID,Input Fastq Files,Input Bam Files
DGCR8,HepG2,ENCSR061SZV,ENCSR298SAD,"ENCFF420ZZD,ENCFF905UKZ,ENCFF542YWU,ENCFF347OGO","ENCFF559WUX,ENCFF703NQI","ENCFF674MHQ,ENCFF382SXP",ENCFF242WEP,DGCR8 eCLIP mock input,"ENCFF869IBS,ENCFF225SLP",ENCFF209NTM
GTF2F1,HepG2,ENCSR265ZIS,ENCSR451HMR,"ENCFF747FBU,ENCFF613QDB,ENCFF692APB,ENCFF321BPE","ENCFF587LRZ,ENCFF498YIO","ENCFF092IJR,ENCFF240QYG",ENCFF241SUC,GTF2F1 eCLIP mock input,"ENCFF595TEO,ENCFF251NBU",ENCFF435UZZ
LIN28B,HepG2,ENCSR861GYE,ENCSR746ZSV,"ENCFF916HAS,ENCFF794YIP,ENCFF459WIT,ENCFF917QVW","ENCFF763NGW,ENCFF925HAH","ENCFF976KYV,ENCFF381VVY",ENCFF451AQL,LIN28B eCLIP mock input,"ENCFF439RMU,ENCFF436NGE",ENCFF362UUB
TAF15,HepG2,ENCSR841EQA,ENCSR708TCY,"ENCFF456KCB,ENCFF185GGV,ENCFF192XSY,ENCFF718IXR","ENCFF981SIK,ENCFF730OHC","ENCFF603JTU,ENCFF063BTH",ENCFF513PTZ,TAF15 eCLIP mock input,"ENCFF832HQP,ENCFF612XKJ",ENCFF743PLU
SF3A3,HepG2,ENCSR331MIC,ENCSR859PUB,"ENCFF318QPN,ENCFF507QFP,ENCFF358LEO,ENCFF912UMI","ENCFF955MLC,ENCFF231UPL","ENCFF642VTG,ENCFF075FPZ",ENCFF710LWM,SF3A3 eCLIP mock input,"ENCFF337AFM,ENCFF370RMU",ENCFF514RHC
NONO,K562,ENCSR861PAR,ENCSR487EUV,"ENCFF724ERL,ENCFF109GPL,ENCFF008LDP,ENCFF896KWG","ENCFF171ATE,ENCFF224NTR","ENCFF174MVU,ENCFF201YQC",ENCFF363HHT,NONO eCLIP mock input,"ENCFF399ONM,ENCFF608XVX",ENCFF347ECS
PABPC4,K562,ENCSR958FKZ,ENCSR192TPA,"ENCFF662IWF,ENCFF484RUL,ENCFF440SQF,ENCFF478YTR","ENCFF047TLS,ENCFF953EUQ","ENCFF463ZSJ,ENCFF772SPP",ENCFF956PEQ,PABPC4 eCLIP mock input,"ENCFF611LDZ,ENCFF371WFK",ENCFF120HRN
PPIL4,K562,ENCSR197INS,ENCSR346IHS,"ENCFF234LRU,ENCFF045ANJ,ENCFF854FTL,ENCFF427FOO","ENCFF194KZE,ENCFF601IBB","ENCFF188XKC,ENCFF036ZXE",ENCFF546EKR,PPIL4 eCLIP mock input,"ENCFF221USS,ENCFF932XAN",ENCFF296UEW
WRN,K562,ENCSR038JME,ENCSR925ZRV,"ENCFF553UKA,ENCFF673VLP,ENCFF548GPO,ENCFF137XEJ","ENCFF480XQJ,ENCFF264AQP","ENCFF109LYL,ENCFF138IUK",ENCFF938JQE,WRN eCLIP mock input,"ENCFF467KQF,ENCFF137BBS",ENCFF922LFX
AKAP8L,K562,ENCSR206RXT,ENCSR550SGC,"ENCFF941NZR,ENCFF228RUA,ENCFF368HXQ,ENCFF443KRX","ENCFF977DLI,ENCFF127ULN","ENCFF781FPH,ENCFF189LGT",ENCFF923ZLX,AKAP8L eCLIP mock input,"ENCFF741GZP,ENCFF534UAZ",ENCFF057WTV
